nom,ville
Villa Mahieddine Site Naturel (Sidi-M'hamed) ,Alger
Jardin d'Essai du Hamma Site Naturel El Hamma-Annassers ,Alger
Parc de la libert? Site Naturel (Sidi-M'hamed) ,Alger
Palais Mustapha Pacha Demeure/Mod (Sidi-M'hamed) ,Alger
Prison de Barbarousse Mon.P?nitencier /Mod (Casbah Oued Koriche) ,Alger
Maison Boukenoura Demeure/Mod ,Alger
Mosa?que de la mosqu?e de Tadfina ? Tlemcen d?pos?e au mus?e national des antiquit?s ?uvre d'art/Ant (Sidi-M'hamed) ,Alger
Maison des ? 22 ? Mon.Comm?m./Mod (El-Mouradia) ,Alger
Mus?e du Bardo Demeure /Mod (Alger centre) ,Alger
Maison o? sont morts Ali la Pointe et ses compagnons Mon.Comm?m./Mod (Casbah Oued Koriche) ,Alger
Fort Turc de Bordj El Kiffane Fortif./Med (Bordj El Kiffane) ,Alger
Mus?e National des Antiquit?s Demeure /Mod (Sidi-M'hamed) ,Alger
L'Edifice abritant l'h?tel El Djaza?r Edifice.Touriste (El-Madania) ,Alger
Phare de cap Caxine Signal. Maritime/ Mod. (Sidi-M'hamed) ,Alger
Mus?e National des Beaux ?Arts Edifice/Mod. (Sidi-M'hamed) ,Alger
Palais du peuple Edifice/Mod. (Sidi-M'hamed) ,Alger
Hadjra Sidi Boubeker (Gravures rupestres) ?uvre d'art/Pr?-.Hist (Ain El Ibel) ,Djelfa
Kheneg El-Hillal (Gravures rupestres) ?uvre d'art/ Pr?-.Hist (Ain El Ibel) ,Djelfa
Zeccar (Gravures rupestres) ?uvre d'art/ Pr?-.Hist (Zeccar) ,Djelfa
Dolmens du Moulin de Djelfa Mon.Fun/ Pr?-.Hist (Djelfa) ,Djelfa
Dolmens ? droite de la route d'Alger ? Laghouat Mon.Fun/ Pr?-.Hist (Djelfa) ,Djelfa
Corniche Site Naturel (El Aouana) ,Jijel
Corniche Site Naturel Ziama (Mansouriah) ,Jijel
Grottes Merveilleuses Site Naturel/Pr?-.Hist. (Ziama Mansouriah) ,Jijel
Site de Tisselil Site/Ant (Stara) ,Jijel
Site de Rabta Site/Ant (Jijel) ,Jijel
Village de Tidget Guergour Site Naturel (Ghenzet) ,Setif
Gorges de Chabet Akra Site Naturel (Ghenzet) ,Setif
Territoires et Monuments de l'Antique Cuicul Site et Mon./Ant. (Djemila) ,Setif
Citadelle de Setif Fortif./Ant (Setif) ,Setif
"Zone arch?ologique : quartier de la basilique , rempart, cirque,quartier du temple Site et Mon./Ant. (Setif) ",Setif
Site D'Ikdjen Site/Med (Ain El Kebira) ,Setif
Ain El Fouara Fontaine oeuvre d'art/Med (Setif) ,Setif
Grottes de Tiffrit Site/ Pr?-.Hist. (Ain Soltane) ,Saida
Grottes de Oued Saida Site/ Pr?-.Hist. (Saida) ,Saida
Site de Ain Mena? Site/ Pr?-.Hist. (Ain Lahdjar) ,Saida
Site Timzighine Site/ Pr?-.Hist. (Youb) ,Saida
Th??tre Romain et fragments d'architecture qu'il renferme Mon. de Spectacle/Ant (Skikda) ,Skikda
Objets antiques d?pos?s au mus?e de Skikda appartenant ? l'Etat Objets/Ant (Skikda) ,Skikda
Toile repr?sentant l'ensevelissement du Christ attribu? ? Van Dyck ?uvre d'art/Ant (Skikda) ,Skikda
Palais Meriem Azza Demeure/Mod (Skikda) ,Skikda
La grande mosqu?e Mon. de Culte/Islam (Collo) ,Skikda
Camps de Bossuet Mon.P?nitencier/ Mod (Dhaya) ,Sidi Bel Abbes
Citerne d'Hippone Ouv.Hyd./Ant (Annaba) ,Annaba
Ruines d'Hippone Ruines/Ant (Annaba) ,Annaba
"La citadelle, fort des supplicit?s et les vestiges du rempart de la ville Fortif./Mod (Annaba) ",Annaba
Mosqu?e du Bey Mon.de Culte/Islam. (Annaba) ,Annaba
Koubba de Sidi Brahim El Mirdassi Mon.de Culte/Islam (Annaba) ,Annaba
Grottes du Djebel Taya (r?gion de Oued Charef Site Naturel/Pr?-.Hist (Bou Hamdane) ,Guelma
Piscine romaine (Hammam Berda) Thermes/Ant. (Heliopolis) ,Guelma
Restes de th??tre et Thermes Elem.deMon./Ant (Guelma) ,Guelma
Dolmens et grottes fun?raires ? 12 Kms au nord de Hammam Meskoutine Mon. Fun./ Pr?-.Hist (Rokina) ,Guelma
Ruines de la ville de Thibilis Ruin?s/Ant. (Bellaoua Announa) ,Guelma
Ruines de la ville de Thibilis Ruin?s/Ant. (Bellaoua Announa) ,Guelma
Hammam Debagh (Meskhoutine) Thermes/Ant. (Hammam Debagh) ,Guelma
Site Khenguet El Hadjar Site Natu./ Pr?-.Hist. (Salaout Announa) ,Guelma
Dolmens de Cheniour Mon.Fun./Pr?-.Hist. (Ain El Arbi) ,Guelma
Site de Ain Nechma Site/ Pr?-.Hist. (Ben-Djerrah) ,Guelma
Citadelle Bouatfane Fortif./Ant. (Ain El Arbi) ,Guelma
Kef Bouzioune Zatara antique Site/Ant. (Bouhachana) ,Guelma
Zaouia Cheikh El Hafnaoui Bedyar Mon.de Culte/Islam. (Beni Mezlin) ,Guelma
Sour Ethakana el Kadi?m Fortif./Mod. (Guelma) ,Guelma
Office du Parc de la Vall?e du M?ZAB ,Ghardaia
Porte de Santon Mon.d'Ac?e/Mod (Oran) ,Oran
Restes d'une ville romaine Ruines /Ant. (Bethioua) ,Oran
Ville punique des Andalouses Ruines /Ant. (Boutellis) ,Oran
Abri Alain Site./Pr?-His (Oran) ,Oran
Grottes d'El Cuartel Site./Pr?-His (Oran) ,Oran
Mosqu?e Mohamed Kebir Mon.de Culte/Islam (Oran) ,Oran
Mosqu?e du Pacha Mon.de Culte/Islam (Oran) ,Oran
Minaret du campement El?m.de Mon.de Culte. (Oran) ,Oran
Minaret de la Mosqu?e du Pacha El?m.de Mon.de Culte. (Oran) ,Oran
Caravans?rail Edif. /Mod (Oran) ,Oran
Palais du Bey Demeure/Mod (Oran) ,Oran
Porte Espagnole du ch?teau dite ? Porte d'Espagne ? Mon.d'Ac?e/Mod (Oran) ,Oran
Pavillon de la Favorite El?m.D'Edif/Mod (Oran) ,Oran
Mosqu?e Mohamed El Houari Mon.de Culte/Islam (Oran) ,Oran
Porte de la manutention militaire El?m.de Const. Milit /Mod (Oran) ,Oran
Ecusson espagnol sculpt? sur l'ext?rieur du mur d'enceinte du ch?teau neuf El?m.d'?uvre d'art/ Mod (Oran) ,Oran
Tambour de San Jos? El?m.d'architec./ Mod (Oran) ,Oran
Fontaine de la Place Emerat ?uvre .d'art/Mod (Oran) ,Oran
Office du Parc National du TASSILI,Illizi
Porte de Castel Mon.d'Ac?e/Mod (Oran) ,Oran
Porte d'entr?e Ch?teau neuf Mon.d'Ac?e/Mod (Oran) ,Oran
Posada Espagnole Relais/Mod. (Oran) ,Oran
